Date,Open,High,Low,Close,Volume
2021-09-08,86600,87000,85400,86700,7446
2021-09-09,86800,86800,84300,84300,9311
2021-09-10,85200,85200,84000,85200,4145
2021-09-13,85100,85600,81400,82000,113156
2021-09-14,82200,83600,82100,82700,15935
2021-09-15,83000,83700,82300,83300,5932
2021-09-16,82600,83700,82300,82500,3845
2021-09-17,82800,83100,81900,83100,5741
2021-09-23,83000,83000,81700,82400,3849
2021-09-24,83000,83000,81300,82300,6414
2021-09-27,82200,82300,80500,82000,10523
2021-09-28,81900,81900,80500,81800,9321
2021-09-29,80500,81300,79700,80800,15398
2021-09-30,80800,81700,80000,81700,9363
2021-10-01,81500,81500,79600,80800,15678
2021-10-05,80000,81000,79200,80600,9536
2021-10-06,81200,82100,80100,81100,11432
2021-10-07,81000,82400,81000,82400,9310
2021-10-08,82400,82400,80400,81000,4437
2021-10-12,81000,81000,79500,80500,9045
2021-10-13,80600,82000,80500,82000,4783
2021-10-14,82100,82200,81400,82000,2315
2021-10-15,82400,82400,81600,82200,4734
2021-10-18,82900,82900,80900,82200,5961
2021-10-19,82300,82500,81600,82200,3808
2021-10-20,82800,82800,81800,82600,5722
2021-10-21,82800,82800,82200,82200,5117
2021-10-22,82600,82600,81900,82000,14308
2021-10-25,82300,83000,81600,83000,7682
2021-10-26,83300,83300,82300,83300,2501
2021-10-27,83400,83400,82300,82700,1418
2021-10-28,82700,82700,81400,81900,3363
2021-10-29,81900,82100,80800,81400,6925
2021-11-01,82000,82000,81000,81700,2673
2021-11-02,82300,82300,81500,82300,4327
2021-11-03,82300,82300,80800,81100,4899
2021-11-04,81300,82900,81200,82900,5825
2021-11-05,82900,82900,81200,82300,2865
2021-11-08,82300,82300,81000,81300,2825
2021-11-09,81300,81600,80800,81100,2658
2021-11-10,81200,81200,79800,80500,10156
2021-11-11,80000,80400,77400,78000,17097
